Index,Height(Inches),,Weight(Pounds),,,,
1,65.78331,167.0896074,112.9925,,,4317562.713,172.7025085
2,71.51521,181.6486334,136.4873,,,,
3,69.39874,176.2727996,153.0269,,,,
4,68.2166,173.270164,142.3354,,,,
5,67.78781,172.1810374,144.2971,,,,
6,68.69784,174.4925136,123.3024,,,,
7,69.80204,177.2971816,141.4947,,,,
8,70.01472,177.8373888,136.4623,,,,
9,67.90265,172.472731,112.3723,,,,
10,66.78236,169.6271944,120.6672,,,,
11,66.48769,168.8787326,127.4516,,,,
12,67.62333,171.7632582,114.143,,,,
13,68.30248,173.4882992,125.6107,,,,
14,67.11656,170.4760624,122.4618,,,,
15,68.27967,173.4303618,116.0866,,,,
16,71.0916,180.572664,139.9975,,,,
17,66.461,168.81094,129.5023,,,,
18,68.64927,174.3691458,142.9733,,,,
19,71.23033,180.9250382,137.9025,,,,
20,67.13118,170.5131972,124.0449,,,,
21,67.83379,172.2978266,141.2807,,,,
22,68.87881,174.9521774,143.5392,,,,
23,63.48115,161.242121,97.90191,,,,
24,68.42187,173.7915498,129.5027,,,,
25,67.62804,171.7752216,141.8501,,,,
26,67.20864,170.7099456,129.7244,,,,
27,70.84235,179.939569,142.4235,,,,
28,67.49434,171.4356236,131.5502,,,,
29,66.53401,168.9963854,108.3324,,,,
30,65.44098,166.2200892,113.8922,,,,
31,69.5233,176.589182,103.3016,,,,
32,65.8132,167.165528,120.7536,,,,
33,67.8163,172.253402,125.7886,,,,
34,70.59505,179.311427,136.2225,,,,
35,71.80484,182.3842936,140.1015,,,,
36,69.20613,175.7835702,128.7487,,,,
37,66.80368,169.6813472,141.7994,,,,
38,67.65893,171.8536822,121.2319,,,,
39,67.80701,172.2298054,131.3478,,,,
40,64.04535,162.675189,106.7115,,,,
41,68.57463,174.1795602,124.3598,,,,
42,65.18357,165.5662678,124.8591,,,,
43,69.65814,176.9316756,139.6711,,,,
44,67.96731,172.6369674,137.3696,,,,
45,65.98088,167.5914352,106.4499,,,,
46,68.67249,174.4281246,128.7639,,,,
47,66.88088,169.8774352,145.6837,,,,
48,67.69868,171.9546472,116.819,,,,
49,69.82117,177.3457718,143.6215,,,,
50,69.08817,175.4839518,134.9325,,,,
51,69.91479,177.5835666,147.0219,,,,
52,67.33182,171.0228228,126.3285,,,,
53,70.26939,178.4842506,125.4839,,,,
54,69.10344,175.5227376,115.7084,,,,
55,65.38356,166.0742424,123.4892,,,,
56,70.18447,178.2685538,147.8926,,,,
57,70.40617,178.8316718,155.8987,,,,
58,66.54376,169.0211504,128.0742,,,,
59,66.36418,168.5650172,119.3701,,,,
60,67.537,171.54398,133.8148,,,,
61,66.50418,168.9206172,128.7325,,,,
62,68.99958,175.2589332,137.5453,,,,
63,68.30355,173.491017,129.7604,,,,
64,67.01255,170.211877,128.824,,,,
65,70.80592,179.8470368,135.3165,,,,
66,68.21951,173.2775554,109.6113,,,,
67,69.05914,175.4102156,142.4684,,,,
68,67.73103,172.0368162,132.749,,,,
69,67.21568,170.7278272,103.5275,,,,
70,67.36763,171.1137802,124.7299,,,,
71,65.27033,165.7866382,129.3137,,,,
72,70.84278,179.9406612,134.0175,,,,
73,69.92442,177.6080268,140.3969,,,,
74,64.28508,163.2841032,102.8351,,,,
75,68.2452,173.342808,128.5214,,,,
76,66.35708,168.5469832,120.2991,,,,
77,68.36275,173.641385,138.6036,,,,
78,65.4769,166.311326,132.9574,,,,
79,69.71947,177.0874538,115.6233,,,,
80,67.72554,172.0228716,122.524,,,,
81,68.63941,174.3441014,134.6254,,,,
82,66.78405,169.631487,121.8986,,,,
